Rk,PFF Name,PFF Name Cleaned,Data Bowl Name,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Foyesade Oluokun,Foyesade Oluokun,Foyesade Oluokun,ATL,26,RILB,17,17,0.18,4.71,0,56,0.35,0.06,0,0,0,0,0.12,11.3,6,5.29,0.24,0.41,
2,Jordyn Brooks,Jordyn Brooks,Jordyn Brooks,SEA,24,RILB,17,17,0,0,0,0,0.29,0,0,1,5,0,0.06,10.8,6.41,4.41,0.59,0.18,
3,Bobby Wagner*,Bobby Wagner,Bobby Wagner,SEA,31,LILB,16,16,0.06,0.19,0,3,0.31,0.06,0,0,0,0,0.06,10.6,5.81,4.81,0.19,0.19,
4,C.J. Mosley,C.J. Mosley,C.J. Mosley,NYJ,29,LLB,16,16,0,0,0,0,0.13,0.13,0,0,0,0,0.13,10.5,6.44,4.06,0.13,0.19,
5,Denzel Perryman*,Denzel Perryman,Denzel Perryman,LVR,29,MLB,15,15,0,0,0,0,0.2,0.07,0,2,1,0,0,10.3,6.8,3.47,0.33,0.2,
6,Roquan Smith,Roquan Smith,Roquan Smith,CHI,24,RILB,17,17,0.06,3.12,0.06,53,0.18,,,,,0,0.18,9.59,5.59,4,0.71,0.24,
7,Eric Kendricks,Eric Kendricks,Eric Kendricks,MIN,29,MLB,15,15,0.13,1.47,0,22,0.27,0,0,1,2,0,0.33,9.53,5.4,4.13,0.53,0.33,
8,De'Vondre Campbell+,De'Vondre Campbell,De'Vondre Campbell,GNB,28,RILB,16,16,0.13,0.94,0,13,0.31,0.13,0,1,3,0,0.13,9.13,6.38,2.75,0.38,0.38,
9,Cole Holcomb,Cole Holcomb,Cole Holcomb,WAS,25,LLB,16,16,0.13,3.38,0.06,31,0.44,0.13,0,1,0,0,0.06,8.88,5.19,3.69,0.13,0.13,
10,Anthony Walker,Anthony Walker,Anthony Walker,CLE,26,MLB,13,12,0,0,0,0,0.15,,,,,0,0.08,8.69,5.31,3.38,0.15,0.08,
11,Deion Jones,Deion Jones,Deion Jones,ATL,27,LILB,16,16,0,0,0,0,0.38,0.06,0,0,0,0,0.13,8.56,5.44,3.13,0.5,0.25,
12,Alex Singleton,Alex Singleton,Alex Singleton,PHI,28,RLB,16,8,0.06,1.81,0.06,29,0.25,0.06,0,1,0,0,0,8.56,5.06,3.5,0.25,0.13,
13,Fred Warner,Fred Warner,Fred Warner,SFO,25,MLB,16,16,0,0,0,0,0.25,0.06,0,3,0,0,0.03,8.56,4.94,3.63,0.44,0.19,
14,Kyzir White,Kyzir White,Kyzir White,LAC,25,LILB,17,17,0.12,1.29,0,22,0.18,0.12,0,0,0,0,0.06,8.47,5.29,3.18,0.41,0.24,
15,Johnathan Abram,Johnathan Abram,#N/A,LVR,25,SS,14,14,0.07,0.43,0,6,0.29,0,0,1,0,0,0,8.29,4.57,3.71,0.36,0.21,
16,T.J. Edwards,T.J. Edwards,T.J. Edwards,PHI,25,MLB,16,14,0.06,0.06,0,1,0.31,0,0,1,0,0,0.06,8.13,4,4.13,0.31,0.13,
17,Lavonte David,Lavonte David,Lavonte David,TAM,31,RILB,12,12,0,0,0,0,0.25,0.17,0,1,12,0,0.17,8.08,5.25,2.83,0.42,0.33,
18,Derwin James*,Derwin James,#N/A,LAC,25,SS,15,15,0.13,1.33,0,15,0.33,0.2,0,0,0,0,0.13,7.87,5,2.87,0.47,0.47,
19,Azeez Al-Shaair,Azeez Al-Shaair,Azeez Al-Shaair,SFO,24,LLB,13,13,0.08,1.85,0,24,0.38,0.08,0,2,12,0,0.15,7.85,4.46,3.38,0.69,0.15,
20,Logan Ryan,Logan Ryan,#N/A,NYG,30,SS/FS,15,15,0,0,0,0,0.53,0.13,0,1,0,0,0.07,7.8,5.13,2.67,0.13,0.2,
21,Bobby Okereke,Bobby Okereke,Bobby Okereke,IND,25,MLB,17,17,0.12,1.18,0,16,0.24,,,,,0,0.06,7.76,5.24,2.53,0.18,0.12,
22,Minkah Fitzpatrick,Minkah Fitzpatrick,#N/A,PIT,25,FS,16,16,0.13,1.13,0,18,0.44,0.06,0,1,-1,0,0,7.75,5.25,2.5,0.06,0,
23,Kamu Grugier-Hill,Kamu Grugier-Hill,Kamu Grugier-Hill,HOU,27,LLB,14,14,0.07,5.86,0,82,0.21,0.14,0,0,0,0,0.21,7.71,5.07,2.64,0.93,0.36,
24,Logan Wilson,Logan Wilson,Logan Wilson,CIN,25,LLB,13,13,0.31,2.38,0,18,0.31,0.08,0,0,0,0,0.08,7.69,4.38,3.31,0.38,0.08,
25,Marcus Maye,Marcus Maye,#N/A,NYJ,28,SS,6,6,0,0,0,0,0.33,,,,,0,0.17,7.67,5,2.67,0.67,0.17,
26,Blake Martinez,Blake Martinez,Blake Martinez,NYG,27,LB,3,3,,,0,,,,,,,0,0,7.67,3.67,4,0.33,0,
27,Tae Crowder,Tae Crowder,Tae Crowder,NYG,24,RILB,17,17,0.12,1.53,0,17,0.35,0.06,0.06,0,0,0,0,7.65,3.76,3.88,0.18,0.06,
28,Shaquille Leonard*+,Shaquille Leonard,Shaquille Leonard,IND,26,LLB,16,16,0.25,0.75,0,7,0.5,0.5,0.06,3,31,0,0,7.63,4.69,2.94,0.25,0.19,
29,Harrison Smith*,Harrison Smith,#N/A,MIN,32,SS,15,15,0.07,0.67,0,10,0.47,0.07,0,0,0,0,0.2,7.6,5.53,2.07,0.2,0.33,
30,Devin White*,Devin White,Devin White,TAM,23,LILB,17,17,0,0,0,0,0.18,0,0,1,5,0,0.21,7.53,5.12,2.41,0.47,1.06,
31,David Long,David Long,David Long,TEN,25,LILB,10,9,0.2,0.6,0,6,0.6,,,,,0,0,7.5,4.6,2.9,0.4,0.2,
32,Shaq Thompson,Shaq Thompson,Shaq Thompson,CAR,27,LLB,14,13,0.14,2.79,0,29,0.36,,,,,0,0.14,7.43,4.64,2.79,0.64,0.43,
33,Jamal Adams,Jamal Adams,#N/A,SEA,26,SS,12,12,0.17,0,0,0,0.42,,,,,0,0,7.25,4.67,2.58,0.33,0.17,
34,Tracy Walker,Tracy Walker,#N/A,DET,26,SS,15,15,0.07,0.33,0,5,0.4,,,,,0,0.07,7.2,4.93,2.27,0.2,0.07,
35,Tremaine Edmunds,Tremaine Edmunds,Tremaine Edmunds,BUF,23,MLB,15,15,0.07,0.27,0,4,0.27,,,,,0,0,7.2,4.67,2.53,0.47,0.07,
36,Myles Jack,Myles Jack,Myles Jack,JAX,26,RILB,15,15,,,0,,,,,,,0,0,7.2,4.13,3.07,0.2,0.13,
37,Christian Kirksey,Christian Kirksey,Christian Kirksey,HOU,29,MLB,13,12,0.08,0.08,0,1,0.62,0,0,2,-1,0,0,7.15,4.23,2.92,0.46,0.15,
38,Jalen Thompson,Jalen Thompson,#N/A,ARI,23,FS,17,12,0.18,2.88,0,33,0.41,,,,,0,0,7.12,4.65,2.47,0.18,0.12,
39,Jordan Fuller,Jordan Fuller,#N/A,LAR,23,SS,16,16,0.06,2.13,0,34,0.25,,,,,0,0,7.06,3.94,3.13,0.06,0,
