Rk,PFF Name,displayName,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb▼,Solo,Ast,TFL,QBHits,Sfty
1,Foyesade Oluokun,Foyesade Oluokun,JAX,27,LB,17,17,0,0,0,0,0.29,0.12,0,2,0,0,0.12,10.8,7.53,3.29,0.71,0.53,
2,Nick Bolton,Nick Bolton,KAN,22,LB,17,17,0.12,0.88,0,15,0.18,0.06,0,0,0,0,0.12,10.6,6.35,4.24,0.53,0.35,
3,Jordyn Brooks,Jordyn Brooks,SEA,25,LB,16,16,0,0,0,0,0.31,0.06,0,1,3,0,0.06,10.1,6.44,3.63,0.19,0.19,
4,Roquan Smith*+,Roquan Smith,2TM,25,LB,17,17,0.18,2.41,0,19,0.35,,,,,0,0.26,9.94,6.06,3.88,0.65,0.24,
5,Cole Holcomb,Cole Holcomb,WAS,26,LB,7,7,0,0,0,0,0.14,,,,,0,0,9.86,5.29,4.57,0.14,0.14,
6,Josey Jewell,Josey Jewell,DEN,28,LB,13,13,0.15,1.62,0,21,0.31,0.15,0,2,5,0,0.19,9.85,5.38,4.46,0.54,0.31,
7,Zaire Franklin,Zaire Franklin,IND,26,LB,17,17,0,0,0,0,0.35,0.12,0,0,0,0,0.18,9.82,6,3.82,0.71,0.35,
8,Alex Singleton,Alex Singleton,DEN,29,LB,17,12,0,0,0,0,0.18,0.06,0,0,0,0,0,9.59,5.94,3.65,0.35,0.18,
9,T.J. Edwards,T.J. Edwards,PHI,26,LB,17,17,0,0,0,0,0.41,0,0,1,0,0,0.12,9.35,5.82,3.53,0.59,0.29,
10,Rashaan Evans,Rashaan Evans,ATL,27,LB,17,17,0,0,0,0,0.24,0.06,0,2,3,0,0.12,9.35,5.06,4.29,0.35,0.18,
11,C.J. Mosley*,C.J. Mosley,NYJ,30,LB,17,17,0.06,0,0,0,0.41,0,0,1,0,0,0.06,9.29,5.82,3.47,0.29,0.18,
12,Divine Deablo,Divine Deablo,LVR,24,LB,8,8,0,0,0,0,0.13,,,,,0,0,9.25,4.75,4.5,0.13,0,
13,Bobby Okereke,Bobby Okereke,IND,26,LB,17,16,0,0,0,0,0.29,0.12,0,2,0,0,0,8.88,5.82,3.06,0.35,0,
14,Jalen Pitre,Jalen Pitre,HOU,23,DB,17,17,0.29,3.35,0,29,0.47,0,0.06,1,0,0,0.06,8.65,5.82,2.82,0.29,0.06,
15,Drue Tranquill,Drue Tranquill,LAC,27,LB,17,16,0.06,1.18,0,20,0.24,0.06,0,0,0,0,0.29,8.59,5.59,3,0.59,0.47,
16,Dre Greenlaw,Dre Greenlaw,SFO,25,LB,15,15,0.07,0,0,0,0.4,0.13,0,2,23,1,0,8.47,5.47,3,0.2,0,
17,Bobby Wagner,Bobby Wagner,LAR,32,LB,17,17,0.12,0.76,0,13,0.29,,,,,0,0.35,8.24,4.76,3.47,0.59,0.59,
18,Derwin James*,Derwin James,LAC,26,S,14,14,0.14,0,0,0,0.43,0.14,0,0,0,0,0.29,8.21,4.57,3.64,0.36,0.36,
19,Logan Wilson,Logan Wilson,CIN,26,LB,15,15,0.07,2.73,0,41,0.27,0.07,0.07,0,0,0,0.17,8.2,5.53,2.67,0.2,0.47,
20,Eric Kendricks,Eric Kendricks,MIN,30,LB,17,17,0,0,0,0,0.35,0,0,1,0,1,0.06,8.06,5.12,2.94,0.47,0.12,
21,Cody Barton,Cody Barton,SEA,26,LB,17,11,0.12,0.65,0,10,0.35,,,,,0,0.12,8,4.94,3.06,0.24,0.12,
22,Shaq Thompson,Shaq Thompson,CAR,28,LB,17,17,0,0,0,0,0.24,0,0.06,1,0,0,0.03,7.94,4.59,3.35,0.47,0.18,
23,Tremaine Edmunds,Tremaine Edmunds,BUF,24,LB,13,13,0.08,0.31,0,4,0.54,,,,,0,0.08,7.85,5.08,2.77,0.46,0.23,
24,Julian Love,Julian Love,NYG,24,S,16,16,0.13,2.75,0,27,0.31,0.06,0,1,8,0,0.06,7.75,4.94,2.81,0.38,0.06,
25,Fred Warner*+,Fred Warner,SFO,26,LB,17,17,0.06,1.18,0,20,0.59,0.06,0,0,0,0,0.12,7.65,4.65,3,0.18,0.35,
26,Jordan Hicks,Jordan Hicks,MIN,30,LB,17,17,0.06,1.12,0,19,0.59,0.06,0,0,0,0,0.18,7.59,5.06,2.53,0.12,0.24,
27,Frankie Luvu,Frankie Luvu,CAR,26,LB,15,14,0.07,2.2,0.07,33,0.27,0.07,0,0,0,0,0.47,7.4,5.07,2.33,1.27,0.6,
28,Budda Baker*,Budda Baker,ARI,26,S,15,15,0.13,3.6,0,53,0.47,0.07,0,0,0,0,0,7.4,5,2.4,0.07,0.13,
29,De'Vondre Campbell,De'Vondre Campbell,GNB,29,LB,13,13,0.15,5.92,0.08,63,0.23,,,,,0,0,7.38,4.31,3.08,0.46,0.08,
30,Jonathan Owens,Jonathan Owens,HOU,27,DB,17,17,0,0,0,0,0.24,,,,,0,0.06,7.35,4.94,2.41,0,0.06,
31,Alex Anzalone,Alex Anzalone,DET,28,LB,17,17,0.06,0.24,0,4,0.35,0.06,0,1,0,0,0.09,7.35,4.53,2.82,0.41,0.41,
32,Ja'Whaun Bentley,Ja'Whaun Bentley,NWE,26,LB,17,17,0.06,0.41,0,7,0.12,0,0,1,0,0,0.18,7.35,3.65,3.71,0.29,0.35,
33,Christian Kirksey,Christian Kirksey,HOU,30,LB,17,17,0.12,1.06,0,18,0.29,0,0,1,0,0,0.18,7.29,4.82,2.47,0.41,0.41,
34,Lavonte David,Lavonte David,TAM,32,LB,17,17,0,0,0,0,0.29,0.06,0,1,0,0,0.18,7.29,4.71,2.59,0.59,0.18,
35,Devin White,Devin White,TAM,24,LB,17,17,0,0,0,0,0.29,0.12,0,3,26,0,0.32,7.29,4.29,3,0.47,0.94,
36,Richie Grant,Richie Grant,ATL,25,S,17,17,0.12,1.29,0,12,0.41,0.06,0,1,0,0,0,7.24,4.12,3.12,0.18,0.06,
37,David Long,David Long,TEN,26,LB,12,12,0.17,0.33,0,4,0.42,,,,,0,0,7.17,4.33,2.83,0.58,0.25,
38,Quay Walker,Quay Walker,GNB,22,LB,17,16,0,0,0,0,0.41,0.18,0,1,63,0,0.09,7.12,4.41,2.71,0.29,0.24,
39,Quincy Williams,Quincy Williams,NYJ,26,LB,15,15,0,0,0,0,0.07,,,,,0,0.2,7.07,4.93,2.13,0.8,0.4,
40,Brandon Jones,Brandon Jones,MIA,24,S,7,7,0,0,0,0,0.43,0.14,0,0,0,0,0.29,7,3.71,3.29,0.14,0.29,
41,Ja'Quan McMillian,Ja'Quan McMillian,DEN,22,CB,1,1,,,0,,,,,,,0,0,7,6,1,0,0,
